,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
1283,x Robert Street,Roslindale,2131,14,14,0,13.0,13.0,0.0,1,1,0.0,Rental,Private,,,x Robert Street Roslindale,"['31 Robert St, Roslindale, MA 02131, United States']"
1284,x Rockland Avenue,Roxbury,2119,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Rockland Avenue Roxbury,"['850 Harrison Ave, Boston, MA 02118, United States']"
1285,x Rockwell Street,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Rockwell Street Dorchester,"['28 Rockwell St, Boston, MA 02124, United States']"
1286,x Roxbury St,Roxbury,2119,11,11,0,9.0,9.0,0.0,2,2,0.0,Rental,Private,,,x Roxbury St Roxbury,"['72 Dale St, Boston, MA 02119, United States']"
1287,x Ruggles Assisted Living,Roxbury,2119,43,43,0,0.0,0.0,0.0,43,43,0.0,Rental,Private,Y,,x Ruggles Assisted Living Roxbury,"['25 Ruggles St, Boston, MA 02119, United States']"
1288,x Ruskindale Road,Hyde Park,2136,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Ruskindale Road Hyde Park,"['154 Ruskindale Rd, Hyde Park, MA 02136, United States']"
1289,x Rutherford Ave,Charlestown,2129,22,0,22,19.0,0.0,19.0,3,0,3.0,Ownership,Private,,,x Rutherford Ave Charlestown,"['570 Rutherford Ave, Boston, MA 02129, United States']"
1290,x Saratoga St,East Boston,2128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Saratoga St East Boston,"['946 Saratoga St, Boston, MA 02128, United States']"
1291,x Saratoga St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Saratoga St (AOP) East Boston,"['946 Saratoga St, Boston, MA 02128, United States']"
1292,x Savin Hill Ave,Dorchester,2125,14,14,0,13.0,13.0,0.0,1,1,0.0,Rental,Private,,,x Savin Hill Ave Dorchester,"['125 Savin Hill Ave, Dorchester, MA 02124, United States']"
1293,x Savin Street,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Savin Street Roxbury,"['must call for appointment, 39 Smith St, Boston, MA 02120, United States']"
1294,x Schuyler St (BuildHome),Roxbury,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Schuyler St (BuildHome) Roxbury,"['Schuyler St, Boston, MA 02121, USA']"
1295,x Seaver Street,Dorchester,2121,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Seaver Street Dorchester,"['232 Seaver St, Boston, MA 02121, United States']"
1296,x Selden St,Dorchester,2124,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Selden St Dorchester,"['98 Selden St, Dorchester, MA 02124, United States']"
1297,x Selden St (BuildHome),Dorchester,2124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,x Selden St (BuildHome) Dorchester,"['88 Selden St, Boston, MA 02124, United States']"
1298,x Shetland St,Roxbury,2119,57,57,0,50.0,50.0,0.0,7,7,0.0,Rental,Private,,,x Shetland St Roxbury,"['13 Shetland St, Boston, MA 02119, United States', '24 Shetland St, Boston, MA 02119, United States']"
1299,x South Huntington,Mission Hill,2116,38,38,0,33.0,33.0,0.0,5,5,0.0,Rental,Private,,,x South Huntington Mission Hill,"['100 S Huntington Ave, Boston, MA 02130, United States']"
1300,x Southern Ave (Johnson VUP),Dorchester,2124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,x Southern Ave (Johnson VUP) Dorchester,"['12 Southern Ave, Dorchester, MA 02124, United States']"
1301,x Spencer St (RDP),Dorchester,2124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Spencer St (RDP) Dorchester,"['Boston, MA 02124, United States']"
1302,x Spencer Street,Dorchester,2124,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,x Spencer Street Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1303,x Spring Street,West Roxbury,2132,11,11,0,10.0,10.0,0.0,1,1,0.0,Rental,Private,,,x Spring Street West Roxbury,"['75-77 Spring St, West Roxbury, MA 02132, United States']"
1304,x St Alphonsus St,Mission Hill,2120,115,115,0,100.0,100.0,0.0,15,15,0.0,Rental,Private,,,x St Alphonsus St Mission Hill,"['95 St Alphonsus St, Boston, MA 02120, United States']"
1305,x St Andrew Rd (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x St Andrew Rd (AOP) East Boston,"['1007 Saratoga St, Boston, MA 02128, United States']"
1306,x St. Andrew Rd (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x St. Andrew Rd (AOP) East Boston,"['1007 Saratoga St, Boston, MA 02128, United States']"
1307,x Stanwood St,Dorchester,2121,12,12,0,10.0,10.0,0.0,2,2,0.0,Rental,Private,,,x Stanwood St Dorchester,"['647 Warren St #25, Dorchester, MA 02121, United States']"
1308,x Stillman St. Conodminium,North End,2113,28,0,28,25.0,0.0,25.0,3,0,3.0,Ownership,Private,,,x Stillman St. Conodminium North End,"['350 North St, Boston, MA 02113, United States']"
1309,x Stonley,Jamaica Plain,2130,28,28,0,23.0,23.0,0.0,5,5,0.0,Rental,Private,,,x Stonley Jamaica Plain,"['76 Stonley Rd, Jamaica Plain, MA 02130, United States']"
1310,x Stoughton Neighborhood Homes,Dorchester,2125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Stoughton Neighborhood Homes Dorchester,"['17 Stoughton St, Dorchester, MA 02125, United States']"
1311,x Stratton Street,Dorchester,2124,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Stratton Street Dorchester,"['1454 Dorchester Ave, Dorchester, MA 02122, United States']"
1312,x Summit Aveue,Brighton,2135,15,0,15,14.0,0.0,14.0,1,0,1.0,Ownership,Private,,,x Summit Aveue Brighton,"['Beacon St &, Summit Ave, Brookline, MA 02446, United States']"
1313,x Sumner Street,East Boston,2128,34,34,0,29.0,29.0,0.0,5,5,0.0,Rental,Private,,,x Sumner Street East Boston,"['125 Sumner St, Boston, MA 02128, United States']"
1314,x Sumner Street [Clippership Wharf Offsite Affd],East Boston,2128,30,0,30,16.0,0.0,16.0,14,0,14.0,Ownership,Public,,,x Sumner Street [Clippership Wharf Offsite Affd] East Boston,"['125 Summer Street, Boston, MA 02111, United States']"
1315,x SUSSEX (RDP),Roxbury,2120,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x SUSSEX (RDP) Roxbury,"['Falmer, Brighton BN1 9RH, United Kingdom']"
1316,x Sussex Street (RDP),Roxbury,2120,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x Sussex Street (RDP) Roxbury,"['Sussex St, Boston, MA 02120, USA']"
1317,x Taber St,Roxbury,2119,45,0,45,39.0,0.0,39.0,6,0,6.0,Ownership,Private,,,x Taber St Roxbury,"['10 Taber St, Boston, MA 02119, United States']"
1318,x Tafthill Park,Roslindale,2131,19,0,19,17.0,0.0,17.0,2,0,2.0,Ownership,Private,,,x Tafthill Park Roslindale,"['17 Taft Hill Terrace, Boston, MA 02131, United States', '1 Belgrade Ave, Boston, MA 02131, United States']"
1319,x Talbot Ave,Dorchester,2124,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,x Talbot Ave Dorchester,"['191 Talbot Ave, Boston, MA 02124, United States']"
1320,x Talbot Ave (REO),Dorchester,2124,4,3,1,0.0,0.0,0.0,4,3,1.0,Ownership/Rental,Private,,,x Talbot Ave (REO) Dorchester,"['191 Talbot Ave, Boston, MA 02124, United States']"
1321,x Talbot Avenue,Dorchester,2124,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,x Talbot Avenue Dorchester,"['191 Talbot Ave, Boston, MA 02124, United States']"
1322,x Tennis Road,Mattapan,2126,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,x Tennis Road Mattapan,"['7 Allstate Rd, Boston, MA 02125, United States']"
1323,x Toledo Terrace,Dorchester,2122,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Toledo Terrace Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1324,x Tonawanda St (Johnson VUP),Dorchester,2124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,x Tonawanda St (Johnson VUP) Dorchester,"['1411 Tremont St, Boston, MA 02120, United States']"
1325,x Topliff St (REO),Dorchester,2122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,x Topliff St (REO) Dorchester,"['40 Gibson St, Dorchester, MA 02122, United States']"
1326,x Tremlett Street,Dorchester,2124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,x Tremlett Street Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1327,x Tremont,South End,2118,4,4,0,3.0,3.0,0.0,1,1,0.0,Rental,Private,,,x Tremont South End,"['Retail Space, 627 Tremont St #1, Boston, MA 02118, United States']"
1328,x Tremont St,South End,2118,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,x Tremont St South End,"['Retail Space, 627 Tremont St #1, Boston, MA 02118, United States']"
1329,x Tremont Street,Mission Hill,2120,18,18,0,16.0,16.0,0.0,2,2,0.0,Rental,Private,,,x Tremont Street Mission Hill,"['1542 Tremont St, Boston, MA 02120, United States']"
1330,x Tremont Street Apartments,Brighton,2135,62,62,0,54.0,54.0,0.0,8,8,0.0,Rental,Private,,,x Tremont Street Apartments Brighton,"['111 Tremont St #109, Brighton, MA 02135, United States']"
1331,x Truman Parkway,Hyde Park,2136,46,46,0,40.0,40.0,0.0,6,6,0.0,Rental,Private,,,x Truman Parkway Hyde Park,"['735 Truman Pkwy, Hyde Park, MA 02136, United States']"
1332,x Union Ave,Jamaica Plain,2130,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,,,x Union Ave Jamaica Plain,"['3160 Washington St, Boston, MA 02130, United States']"
1333,x Verrill St & x 0-x 4 Ballou Ave,Dorchester,2124,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,x Verrill St & x 0-x 4 Ballou Ave Dorchester,"['1 Federal St, Boston, MA 02110, United States']"
1334,x W Broadway,South Boston,2127,42,0,42,37.0,0.0,37.0,5,0,5.0,Ownership,Private,,,x W Broadway South Boston,"['26 W Broadway, Boston, MA 02127, United States']"
1335,x W Broadway [Seaport Square Block M Offsite],South Boston,2127,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,x W Broadway [Seaport Square Block M Offsite] South Boston,"['Seaport Blvd, Boston, MA 02210, United States']"
1336,x W Newton St,South End,2118,28,28,0,1.0,1.0,0.0,27,27,0.0,Rental,Private,,,x W Newton St South End,"['252 W Newton St, Boston, MA 02116, United States']"
1337,x W Park St (AOP),Dorchester,2124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x W Park St (AOP) Dorchester,"['Boston, MA 02124, United States']"
1338,x W Second,South Boston,2127,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,,x W Second South Boston,"['340 W 2nd St, Boston, MA 02127, United States']"
1339,x W Second St,South Boston,2127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x W Second St South Boston,"['340 W 2nd St, Boston, MA 02127, United States']"
1340,x Walk Hill St (Johnson VUP),Mattapan,2126,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,x Walk Hill St (Johnson VUP) Mattapan,"['49A Walk Hill St, Boston, MA 02130, United States']"
1341,x Walley St,East Boston,2128,38,0,38,33.0,0.0,33.0,5,0,5.0,Ownership,Private,,,x Walley St East Boston,"['11 Walley St, Boston, MA 02128, United States']"
1342,x Wareham,South End,2118,18,0,18,16.0,0.0,16.0,2,0,2.0,Ownership,Private,,,x Wareham South End,"['76 Wareham St, Boston, MA 02118, United States']"
1343,x Warren St. Lodging,Roxbury,2121,21,21,0,0.0,0.0,0.0,21,21,0.0,Rental,Private,,,x Warren St. Lodging Roxbury,"['36 Moseley St, Boston, MA 02125, United States']"
1344,x Warren Street (1-4),Roxbury,2119,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Warren Street (1-4) Roxbury,"['Boston, MA 02135, United States']"
1345,x Warren Supportive Housing Phase 1 - Acquisition,Roxbury,2121,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,x Warren Supportive Housing Phase 1 - Acquisition Roxbury,[]
1346,x Washington,West Roxbury,2132,46,46,0,40.0,40.0,0.0,6,6,0.0,Rental,Private,,,x Washington West Roxbury,"['4959 Washington St, West Roxbury, MA 02132, United States']"
1347,x Washington (Archer/Bonell),Roxbury,2119,12,12,0,11.0,11.0,0.0,1,1,0.0,Rental,Private,,,x Washington (Archer/Bonell) Roxbury,[]
1348,x Washington [Belvidere/Dalton East Offsites],Roxbury,2119,16,0,16,9.0,0.0,9.0,7,0,7.0,Ownership,Private,,,x Washington [Belvidere/Dalton East Offsites] Roxbury,"['1 Dalton St, Boston, MA 02115, United States']"
1349,x Washington St,South End,2118,15,15,0,,0.0,0.0,15,15,0.0,Rental,public,,,x Washington St South End,"['1387 Washington St, Boston, MA 02118, United States']"
1350,x Washington St (AOP),Roslindale,2131,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,,x Washington St (AOP) Roslindale,"['4150 Washington St, Roslindale, MA 02131, United States']"
1351,x Washington St AB&W Cooperative Building,Dorchester,2121,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,x Washington St AB&W Cooperative Building Dorchester,"['333 Washington St, Boston, MA 02108, United States']"
1352,x Washington St Lodging,Dorchester,2124,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,x Washington St Lodging Dorchester,"['68 Welles Ave, Boston, MA 02124, United States']"
1353,x Washington Street,Roslindale,2131,28,0,28,27.0,0.0,27.0,1,0,1.0,Ownership,Private,,,x Washington Street Roslindale,[]
1354,x Washington Street Project,West Roxbury,2132,20,0,20,17.0,0.0,17.0,3,0,3.0,Ownership,Private,,,x Washington Street Project West Roxbury,"['9 Washington St, Boston, MA 02132, United States']"
1355,x Waverly Street,Roxbury,2119,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,x Waverly Street Roxbury,"['72 Dale St, Boston, MA 02119, United States']"
1356,x Wayland St. Dorchester - COB,Roxbury,2125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x Wayland St. Dorchester - COB Roxbury,"['70 Wayland St, Boston, MA 02125, United States', '54 Wayland St, Dorchester, MA 02125, United States']"
1357,"x Wellesley Park, #1",Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"x Wellesley Park, #1 Dorchester",[]
1358,x Wenhan St (RDP),Jamaica Plain,2130,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Wenhan St (RDP) Jamaica Plain,[]
1359,x Wentworth St (BuildHome),Dorchester,2124,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,x Wentworth St (BuildHome) Dorchester,"['299 E Bay St, Charleston, SC 29401, United States']"
1360,x West 7th St (BRA acq),South Boston,2127,15,0,15,0.0,0.0,0.0,15,0,15.0,Ownership,Private,,,x West 7th St (BRA acq) South Boston,"['W Seventh St, Boston, MA 02127, USA']"
1361,x West 7th Street,South Boston,2127,25,0,25,24.0,0.0,24.0,1,0,1.0,Ownership,Private,,,x West 7th Street South Boston,"['51 W Seventh St, Boston, MA 02127, United States']"
1362,x West Broadway,South Boston,2127,49,0,49,43.0,0.0,43.0,6,0,6.0,Ownership,Private,,,x West Broadway South Boston,"['11 W Broadway, South Boston, MA 02127, United States']"
1363,x West Second St Condos,South Boston,2127,15,0,15,13.0,0.0,13.0,2,0,2.0,Ownership,Private,,,x West Second St Condos South Boston,"['340 W 2nd St, Boston, MA 02127, United States']"
1364,x West Walnut Pk.,Jamaica Plain,2119,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,x West Walnut Pk. Jamaica Plain,"['3160 Washington St, Boston, MA 02130, United States']"
1365,x Western Ave,Brighton,2135,132,132,0,115.0,115.0,0.0,17,17,0.0,Rental,Private,,,x Western Ave Brighton,"['365 Western Ave, Brighton, MA 02135, United States']"
1366,x Westland Avenue,Fenway,2115,20,20,0,18.0,18.0,0.0,2,2,0.0,Rental,Private,,,x Westland Avenue Fenway,"['16 Westland Ave, Boston, MA 02115, United States']"
1367,x Westminister Ave,Roxbury,2119,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,x Westminister Ave Roxbury,"['3012 Washington St, Roxbury, MA 02119, United States', '2201 Washington St, Roxbury, MA 02119, United States']"
1368,x Westminster (AOP),Hyde Park,2136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,x Westminster (AOP) Hyde Park,"['719 Providence Hwy, Dedham, MA 02026, United States']"
1369,x Westmore Rd (BuildHome),Mattapan,2126,2,1,1,1.0,1.0,0.0,1,0,1.0,Ownership/Rental,Private,,,x Westmore Rd (BuildHome) Mattapan,"['1350 Blue Hill Avenue, Mattapan, MA 02126, United States']"
1370,x Wheatland Avenue,Dorchester,2124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Wheatland Avenue Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1371,x Wildwood Street,Dorchester,2124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Wildwood Street Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1372,x Willow Court,Dorchester,2125,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,,x Willow Court Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1373,x Winston Rd,Dorchester,2126,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,x Winston Rd Dorchester,"['43 Freeport St, Boston, MA 02122, United States']"
1374,x Woodbine (REO),Roxbury,2119,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,x Woodbine (REO) Roxbury,"['Woodbine St, Boston, MA 02119, USA']"
1375,x Woodbine Street,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Woodbine Street Roxbury,"['131 Dale St, Boston, MA 02119, United States']"
1376,x Woodrow Ave (James VUP),Dorchester,2124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,x Woodrow Ave (James VUP) Dorchester,"['54 Woodrow Ave, Dorchester Center, MA 02124, United States', '250 Woodrow Ave, Boston, MA 02124, United States']"
1377,x Woodville,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,x Woodville Roxbury,"['131 Dale St, Boston, MA 02119, United States']"
1378,x Woodward St (AOP),South Boston,2127,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,x Woodward St (AOP) South Boston,"['64 C St, Boston, MA 02127, United States']"
1379,x Wordsworth St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,x Wordsworth St (AOP) East Boston,"['66 Wordsworth St, East Boston, MA 02128, United States']"
1380,x x Harrishof St,Roxbury,2121,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,x x Harrishof St Roxbury,"['9-15 Otisfield St, Boston, MA 02121, United States']"
1381,x Zeigler Street,Roxbury,2119,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,x Zeigler Street Roxbury,"['131 Zeigler St, Boston, MA 02119, United States']"
1382,xx A Street,South Boston,2127,23,0,23,20.0,0.0,20.0,3,0,3.0,Ownership,Private,,,xx A Street South Boston,"['39 A St, Boston, MA 02127, United States']"
1383,xx B Street,South Boston,2127,32,0,32,28.0,0.0,28.0,4,0,4.0,Ownership,Private,,,xx B Street South Boston,"['64 C St, Boston, MA 02127, United States']"
1384,xx Blue Hill Ave,Roxbury,2119,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,xx Blue Hill Ave Roxbury,"['388 Blue Hill Avenue, Boston, MA 02121, United States']"
1385,xx Bowdoin St,Dorchester,2124,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Public,,,xx Bowdoin St Dorchester,"['214 Bowdoin St, Dorchester, MA 02122, United States']"
1386,xx Chaucer St (AOP),East Boston,2128,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,xx Chaucer St (AOP) East Boston,"['37 Meridian St, East Boston, MA 02128, United States']"
1387,xx Chelsea St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,xx Chelsea St (AOP) East Boston,"['111 Chelsea St, Boston, MA 02128, United States']"
1388,xx Coleman Street,Dorchester,2125,1,0,1,0.0,0.0,0.0,1,0,1.0,Ownership,Private,,,xx Coleman Street Dorchester,"['1140 Washington St, Dorchester Center, MA 02124, United States', '40 Gibson St, Dorchester, MA 02122, United States']"
1389,xx Cummins Highway,Mattapan,2126,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,xx Cummins Highway Mattapan,"['820 Cummins Hwy, Mattapan, MA 02126, United States', '926 Cummins Hwy, Mattapan, MA 02126, United States']"
1390,xx Dorchester Ave,Dorchester,2124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,xx Dorchester Ave Dorchester,"['141 Dorchester Ave, Boston, MA 02127, United States']"
1391,xx Dorchester St,South Boston,2127,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,,xx Dorchester St South Boston,"['141 Dorchester Ave, Boston, MA 02127, United States']"
1392,xx Eustis Street,Roxbury,2119,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,xx Eustis Street Roxbury,"['20 Eustis St, Roxbury, MA 02119, United States']"
1393,xx Everett St,East Boston,2128,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,,xx Everett St East Boston,"['24 Orleans St, Boston, MA 02128, United States']"
1394,xx Gladstone St (AOP),East Boston,2128,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,xx Gladstone St (AOP) East Boston,"['2 Neptune Rd, East Boston, MA 02128, United States']"
1395,xx Harrison Ave,South End,2118,84,0,84,34.0,0.0,34.0,50,0,50.0,Ownership,Private,,,xx Harrison Ave South End,"['345 Harrison Ave, Boston, MA 02118, United States']"
1396,xx Huckins St,Roxbury,2119,4,4,0,0.0,0.0,0.0,4,4,0.0,Cooperative,Private,,,xx Huckins St Roxbury,"['550 Dudley St, Roxbury, MA 02119, United States', 'x x x, 119 Braintree St UNIT 403, Allston, MA 02134, United States']"
1397,xx L Street,South Boston,2127,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,,xx L Street South Boston,"['658 E 8th St, Boston, MA 02127, United States']"
1398,xx Lexington St (1-4 Program),East Boston,2128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,xx Lexington St (1-4 Program) East Boston,"['1 Lexington St, Boston, MA 02128, USA']"
1399,xx Magnolia St,Dorchester,2125,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,xx Magnolia St Dorchester,"['206 Magnolia St, Boston, MA 02121, United States']"
1400,xx Marion St,East Boston,2128,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,xx Marion St East Boston,"['13 William Kelly Square, East Boston, MA 02128, United States']"
1401,xx Market St,Brighton,2135,17,17,0,15.0,15.0,0.0,2,2,0.0,Rental,Private,,,xx Market St Brighton,"['241 Market St, Brighton, MA 02135, United States']"
1402,xx Maverick St,East Boston,2128,33,0,33,29.0,0.0,29.0,4,0,4.0,Ownership,Private,,,xx Maverick St East Boston,"['20 Maverick Square, Boston, MA 02128, United States']"
1403,xx Maywood Street,Roxbury,2119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,xx Maywood Street Roxbury,"['Norwood, MA 02062, United States']"
1404,xx Nelson Street,Dorchester,2124,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,xx Nelson Street Dorchester,"['2297 Dorchester Ave, Boston, MA 02124, United States']"
1405,xx Old Colony Ave,South Boston,2127,14,0,14,12.0,0.0,12.0,2,0,2.0,Ownership,Private,,,xx Old Colony Ave South Boston,"['60 Old Colony Ave, Boston, MA 02127, United States']"
